week_id,total_reviews
2015-10-23,1702
2015-10-30,4237
2015-11-06,4692
2015-11-13,5818
2015-11-20,4624
2015-11-27,4509
2015-12-04,5232
2015-12-11,5348
2015-12-18,4147
2015-12-25,3959
2016-01-01,4760
2016-01-08,18952
2016-01-15,4467
2016-01-22,3110
2016-01-29,3049
2016-02-05,2927
2016-02-12,2727
2016-02-19,4743
2016-02-26,6372
2016-03-04,3821
2016-03-11,3583
2016-03-18,3314
2016-03-25,2869
2016-04-01,2561
2016-04-08,4697
2016-04-15,3857
2016-04-22,3962
2016-04-29,4497
2016-05-06,4891
2016-05-13,4947
2016-05-20,5180
2016-05-27,3460
2016-06-03,3413
2016-06-10,3517
2016-06-17,3395
2016-06-24,3348
2016-07-01,2844
2016-07-08,2796
2016-07-15,3049
2016-07-22,3214
2016-07-29,3233
2016-08-05,3742
2016-08-12,2657
2016-08-19,3389
2016-08-26,4406
2016-09-02,3940
2016-09-09,4242
2016-09-16,4397
2016-09-23,4282
2016-09-30,4920
2016-10-07,4406
2016-10-14,5409
2016-10-21,6405
2016-10-28,4470
2016-11-04,7983
2016-11-11,6450
2016-11-18,6723
2016-11-25,5767
2016-12-02,7387
2016-12-09,5452
2016-12-16,4625
2016-12-23,6311
2016-12-30,4583
2017-01-06,5884
2017-01-13,7482
2017-01-20,6916
2017-01-27,6883
2017-02-03,6312
2017-02-10,6752
2017-02-17,9477
2017-02-24,6586
2017-03-03,7060
2017-03-10,8064
2017-03-17,7646
2017-03-24,6768
2017-03-31,8441
2017-04-07,4915
2017-04-14,4988
2017-04-21,5373
2017-04-28,8519
2017-05-05,4050
2017-05-12,4490
2017-05-19,4609
2017-05-26,4673
2017-06-02,7066
2017-06-09,5897
2017-06-16,4318
2017-06-23,2571
2017-06-30,6734
2017-07-07,4166
2017-07-14,4335
2017-07-21,2489
2017-07-28,5224
2017-08-04,4555
2017-08-11,2829
2017-08-18,3172
2017-08-25,2718
2017-09-01,5932
2017-09-08,2875
2017-09-15,4710
2017-09-22,4871
2017-09-29,6777
2017-10-06,6033
2017-10-13,646
